,SA12018_code,averge_room,Male,Female,Average Age,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Median personal income($),Employed Full time,Employed Part time,Unemployed,Paid employee,Employer,Self employed and without employees,Unpaid family worker,median_CV,median_FA,median_AR,median_bed,median_Bath,median_Price,median_school,weighted_weapon,weighted_crime,Number_of_happens,Number of Victimisations
48,7001210,3.0,0.509433962,0.490566038,42.19230769,0.758064516,0.129032258,0.016129032,0.048387097,0.016129032,0.016129032,0.016129032,0.0,26500,0.375,0.107142857,0.035714286,0.303571429,0.053571429,467,0.0,-0.3015513776803472,-0.1411545048944166,8.525789041576404,-0.44485964553967455,1.0346855864585136,13.036805489042683,2.0,0.0,0.4117647058823529,7,7
49,7001211,3.4285714285714284,0.571428571,0.428571429,38.5,0.952380952,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,44000,0.344827586,0.137931034,0.0,0.344827586,0.034482759,423,0.034482759,-0.7588605150581178,-1.0545477951249391,0.7304430122892233,-0.44485964553967455,1.0346855864585136,12.170445467887022,2.0,0.0,0.4705882352941176,8,8
50,7001214,3.357142857142857,0.511111111,0.488888889,38.62790698,0.75,0.0625,0.104166667,0.083333333,0.0,0.0,0.0,0.0,33500,0.347826087,0.152173913,0.02173913,0.369565217,0.043478261,291,0.0,-0.8212208519732684,-0.4317796426950374,0.43441721370869757,-0.44485964553967455,-0.7521814178507827,12.468436909997665,2.0,0.0,0.1764705882352941,3,3
51,7001215,3.636363636363636,0.487179487,0.512820513,36.34210526,0.826086957,0.152173913,0.02173913,0.0,0.0,0.0,0.0,0.0,40100,0.4,0.1,0.0,0.35,0.025,467,0.0,0.32205199147115837,0.7203414393002806,2.461371640100354,1.2660395144864578,1.0346855864585136,13.288744630870443,2.0,0.0,0.35294117647058826,6,6
52,7001217,1.9180327868852456,0.33,0.67,80.87755102,0.98989899,0.01010101,0.0,0.0,0.0,0.0,0.0,0.0,22100,0.1,0.4,0.0,0.4,0.0,413,0.0,0.17654453866914038,-0.4732975195236975,-0.3810242221959917,-0.44485964553967455,-0.7521814178507827,13.081541382884074,2.0,0.0,1.352941176470588,23,25
53,7001218,2.9166666666666665,0.424242424,0.575757576,42.0,0.8,0.028571429,0.057142857,0.057142857,0.0,0.028571429,0.028571429,0.0,37500,0.378378378,0.108108108,0.0,0.459459459,0.0,244,0.0,-0.15604392487832922,-0.22419025855173683,-0.06444107649181825,-0.44485964553967455,-0.7521814178507827,12.936033799212835,2.0,0.06666666666666667,3.2941176470588234,56,58
54,7001219,2.909090909090909,0.456521739,0.543478261,48.02272727,0.936170213,0.021276596,0.0,0.042553191,0.0,0.0,0.0,0.0,26500,0.375,0.1,0.025,0.4,0.025,329,0.0,0.17654453866914038,-0.4732975195236975,-0.3810242221959917,-0.44485964553967455,-0.7521814178507827,13.081541382884074,2.0,0.0,1.352941176470588,23,25
55,7001221,3.269230769230769,0.470588235,0.529411765,61.69387755,0.943396226,0.056603774,0.0,0.0,0.0,0.0,0.0,0.0,28600,0.290322581,0.193548387,0.032258065,0.290322581,0.032258065,513,0.0,0.5091330022166101,1.1458996767940468,0.08631280241493097,-0.44485964553967455,1.0346855864585136,13.230320518909421,2.0,0.0,0.1764705882352941,3,3
56,7001222,2.642857142857143,0.442307692,0.557692308,59.54716981,0.890909091,0.072727273,0.018181818,0.018181818,0.0,0.0,0.0,0.0,26100,0.342105263,0.157894737,0.026315789,0.368421053,0.026315789,341,0.0,0.5091330022166101,1.1458996767940468,0.08631280241493097,-0.44485964553967455,1.0346855864585136,13.230320518909421,2.0,0.0,0.1764705882352941,3,3
57,7001223,2.9375,0.555555556,0.444444444,33.63043478,0.58490566,0.150943396,0.169811321,0.075471698,0.018867925,0.0,0.0,0.0,35700,0.351851852,0.12962963,0.018518519,0.388888889,0.037037037,250,0.018518519,-0.8212208519732684,-0.4317796426950374,0.43441721370869757,-0.44485964553967455,-0.7521814178507827,12.468436909997665,2.0,0.0,0.1764705882352941,3,3
58,7001225,3.0,0.458333333,0.541666667,33.35416667,0.627118644,0.13559322,0.084745763,0.084745763,0.0,0.033898305,0.016949153,0.016949153,35000,0.403508772,0.105263158,0.01754386,0.421052632,0.01754386,154,0.0,-0.3846984935672146,-0.016600874408436276,0.006824393536826819,-0.44485964553967455,-0.7521814178507827,12.712890247898626,2.0,0.06666666666666667,1.9411764705882353,33,33
